num, time, PAT, eSBP, eDBP, iSBP, iDBP
361,259371,192,122.593,48.696,123.377,47.47
362,260124,188,128.484,50.2409,131.74,49.9083
363,260857,197,115.4,46.8094,124.972,48.4043
364,261596,198,113.984,46.4378,121.736,46.6724
365,262341,190,125.523,49.4644,126.499,47.0598
366,263085,189,127,49.8517,127.297,47.1281
367,263824,188,128.484,50.2409,128.482,49.0651
368,264567,187,129.976,50.6323,131.398,48.4043
369,265301,192,122.593,48.696,123.354,47.8573
370,266033,193,121.14,48.3148,121.85,49.5665
371,266777,182,137.559,52.6212,130.783,47.9257
372,267513,192,122.593,48.696,123.947,47.2193
373,268248,199,112.574,46.0681,123.012,47.1965
374,268987,190,125.523,49.4644,125.815,47.9029
375,269722,191,124.054,49.0792,127.73,50.3868
376,270465,181,139.101,53.0255,131.877,48.3587
377,271206,194,119.694,47.9355,124.425,46.923
378,271945,193,121.14,48.3148,121.964,49.7943
379,272681,184,134.501,51.8192,127.502,47.675
380,273427,189,127,49.8517,127.547,47.3788
381,274166,191,124.054,49.0792,123.104,48.9512
382,274904,188,128.484,50.2409,126.089,51.9136
383,275649,187,129.976,50.6323,127.342,47.5839
384,276384,192,122.593,48.696,122.192,47.356
385,277121,165,164.996,59.8173,123.081,46.9458
386,277868,191,124.054,49.0792,128.892,47.6978
387,278606,192,122.593,48.696,121.303,47.0826
388,279345,201,109.776,45.3343,119.663,45.5558
389,280088,187,129.976,50.6323,127.092,49.2246
390,280829,196,116.824,47.1828,121.85,47.1281
391,281564,201,109.776,45.3343,118.797,45.8292
392,282305,187,129.976,50.6323,127.137,49.4981
393,283051,193,121.14,48.3148,123.491,47.1053
394,283795,197,115.4,46.8094,119.366,45.7608
395,284536,189,127,49.8517,124.949,48.3131
396,285286,196,116.824,47.1828,123.947,46.7635
397,286030,195,118.255,47.5582,120.027,46.5356
398,286776,191,124.054,49.0792,124.311,47.0142
399,287532,191,124.054,49.0792,126.362,46.923
400,288276,199,112.574,46.0681,120.893,46.0799
401,289019,194,119.694,47.9355,121.372,47.9941
402,289762,187,129.976,50.6323,129.234,47.8346
403,290506,194,119.694,47.9355,123.195,45.7608
404,291248,196,116.824,47.1828,119.48,49.6804
405,291987,187,129.976,50.6323,127.547,46.9914
406,292737,190,125.523,49.4644,124.972,46.0115
407,293477,195,118.255,47.5582,120.027,48.9968
408,294216,189,127,49.8517,125.246,46.8091
409,294965,190,125.523,49.4644,125.519,46.3533
410,295703,196,116.824,47.1828,120.734,48.4498
411,296441,192,122.593,48.696,125.177,51.1616
412,297187,191,124.054,49.0792,126.681,47.1509
413,297925,198,113.984,46.4378,119.845,46.3533
414,298664,193,121.14,48.3148,121.258,46.171
415,299405,192,122.593,48.696,124.061,46.3989
416,300141,187,129.976,50.6323,129.097,50.3185
417,300885,192,122.593,48.696,126.203,47.47
418,301620,198,113.984,46.4378,121.486,46.8319
419,302356,192,122.593,48.696,126.112,49.1791
420,303103,190,125.523,49.4644,126.886,47.6295
421,303837,195,118.255,47.5582,122.899,47.2193
422,304573,191,124.054,49.0792,125.724,48.6321
423,305319,190,125.523,49.4644,128.504,47.5839
424,306054,197,115.4,46.8094,123.901,47.5611
425,306788,196,116.824,47.1828,123.992,46.4673
426,307522,187,129.976,50.6323,131.626,49.5892
427,308261,194,119.694,47.9355,126.818,48.0397
428,308995,198,113.984,46.4378,123.331,47.2649
429,309728,195,118.255,47.5582,125.998,48.1764
430,310469,188,128.484,50.2409,131.945,47.4927
431,311207,194,119.694,47.9355,124.015,46.6952
432,311943,197,115.4,46.8094,122.329,47.789
433,312678,193,121.14,48.3148,127.98,47.4927
434,313421,189,127,49.8517,129.006,47.5383
435,314156,195,118.255,47.5582,123.696,46.5584
436,314891,195,118.255,47.5582,123.787,49.2474
437,315624,190,125.523,49.4644,129.051,47.9941
438,316365,189,127,49.8517,130.077,47.675
