num, time, PAT, eSBP, eDBP, tSBP, tDBP
553,472818,219,0,0,0,0
554,473310,222,0,0,0,0
555,473602,296,0,0,0,0
556,474122,342,0,0,0,0
557,474931,386,0,0,0,0
558,475990,378,0,0,0,0
559,476702,378,0,0,0,0
560,477476,289,0,0,0,0
561,478251,193,0,0,0,0
562,479016,174,0,0,0,0
563,479805,166,0,0,0,0
564,480630,177,0,0,0,0
565,481498,195,0,0,0,0
566,482348,227,0,0,0,0
567,483201,220,0,0,0,0
568,484083,222,0,0,0,0
569,484991,221,0,0,0,0
570,485880,215,0,0,0,0
571,486754,226,0,0,0,0
572,487646,221,0,0,0,0
573,488546,179,0,0,0,0
574,489457,179,0,0,0,0
575,490342,171,0,0,0,0
576,491213,112,0,0,0,0
577,492114,116,0,0,0,0
578,493019,167,0,0,0,0
579,493903,164,0,0,0,0
580,494756,172,0,0,0,0
581,495601,211,0,0,0,0
582,496454,211,0,0,0,0
583,497328,211,0,0,0,0
584,498189,211,0,0,0,0
585,499081,209,0,0,0,0
586,500017,208,0,0,0,0
587,500943,211,0,0,0,0
588,501849,187,0,0,0,0
589,502723,182,0,0,0,0
590,503599,187,0,0,0,0
591,504480,223,0,0,0,0
592,505348,180,0,0,0,0
593,506190,193,0,0,0,0
594,507017,202,0,0,0,0
595,507891,200,0,0,0,0
596,508789,164,0,0,0,0
597,509676,204,0,0,0,0
598,510547,218,0,0,0,0
599,511421,216,0,0,0,0
600,512281,219,0,0,0,0
601,513087,221,0,0,0,0
602,513890,221,0,0,0,0
603,514703,226,0,0,0,0
604,515525,213,0,0,0,0
605,516330,204,0,0,0,0
606,517138,205,0,0,0,0
607,517951,217,0,0,0,0
608,518767,209,0,0,0,0
609,519569,221,0,0,0,0
610,520385,226,0,0,0,0
611,521209,220,0,0,0,0
612,522021,201,0,0,0,0
613,522815,205,0,0,0,0
614,523593,202,0,0,0,0
615,524364,238,0,0,0,0
616,525122,244,0,0,0,0
617,525871,256,0,0,0,0
618,526595,247,0,0,0,0
619,527332,245,0,0,0,0
620,527728,200,0,0,0,0
621,528806,261,0,0,0,0
622,529425,280,0,0,0,0
623,530203,313,0,0,0,0
624,530640,329,0,0,0,0
625,533282,358,0,0,0,0
626,533869,325,0,0,0,0
627,534478,324,0,0,0,0
628,534948,276,0,0,0,0
629,535734,269,0,0,0,0
630,536626,258,0,0,0,0
631,537555,219,0,0,0,0
632,538487,192,0,0,0,0
633,538898,224,0,0,0,0
634,539283,251,0,0,0,0
635,540328,250,0,0,0,0
636,541258,254,0,0,0,0
637,542200,261,0,0,0,0
638,543167,247,0,0,0,0
639,544112,218,0,0,0,0
640,545085,223,0,0,0,0
641,546063,221,0,0,0,0
642,547029,225,0,0,0,0
643,548018,226,0,0,0,0
644,549033,232,0,0,0,0
645,550044,233,0,0,0,0
